,/lpc/it8688e/control/0,/lpc/it8688e/control/1,/lpc/it8688e/control/2,/lpc/it8688e/control/3,/lpc/it8688e/control/4,/lpc/it8688e/voltage/0,/lpc/it8688e/voltage/1,/lpc/it8688e/voltage/2,/lpc/it8688e/voltage/3,/lpc/it8688e/voltage/4,/lpc/it8688e/voltage/5,/lpc/it8688e/voltage/6,/lpc/it8688e/voltage/7,/lpc/it8688e/voltage/8,/lpc/it8688e/temperature/0,/lpc/it8688e/temperature/1,/lpc/it8688e/temperature/2,/lpc/it8688e/temperature/3,/lpc/it8688e/temperature/4,/lpc/it8688e/temperature/5,/lpc/it8688e/fan/0,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/0,/amdcpu/0/power/0,/amdcpu/0/clock/0,/amdcpu/0/power/2,/amdcpu/0/power/3,/amdcpu/0/power/4,/amdcpu/0/power/5,/amdcpu/0/power/6,/amdcpu/0/power/7,/amdcpu/0/temperature/0,/amdcpu/0/temperature/4,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/power/1,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Voltage #1","Voltage #2","Voltage #3","Voltage #4","Voltage #5","Voltage #6","Voltage #7","Standby +3.3V","VBat","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #1","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Package","Bus Speed","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU CCD #1","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Cores","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space","Used Space"
09/02/2020 02:52:41,,,,,,1.248,2.016,2.052,2.004,1.104,0.912,1.38,3.288,3.096,30,32,49,31,32,41,2647.05884,2.34375,3.125,3.125,0.78125,1.5625,10.9375,3.64583135,32.1848946,99.8132,0.8492032,1.01829326,0.8591551,0.5754721,0.5962219,1.72141731,49,38.5,3194.02246,3194.02246,3194.02246,3194.02246,3194.02246,3194.02246,5.619763,36.779,5.866436,10.0840683,33,300,405.000031,0,3,6,0,0,41,1506,6144,1049.85938,5094.14063,17.0875549,19.259,0,0,25,1.030098,35.77957
09/02/2020 02:52:42,,,,,,1.428,2.016,2.052,2.004,1.104,0.912,1.38,3.288,3.096,30,32,47,31,32,41,2789.256,0.78125,6.25,2.34375,0.78125,1.5625,2.34375,2.34375,31.83467,99.8132,0.710118055,1.11600852,0.8863739,0.5865837,0.6070744,0.9896177,47.625,37.75,3568.322,3568.322,3568.322,3568.322,3568.322,3568.322,4.89577627,36.7453728,5.86107254,10.0894318,33,300,405.000031,0,1,5,0,0,41,1505,6144,1049.85938,5094.14063,17.0875549,19.2610016,5.859375,1.953125,25,1.030098,35.77957
09/02/2020 02:52:43,,,,,,1.32,2.016,2.052,2.004,1.104,0.912,1.38,3.288,3.096,30,32,46,31,33,41,2824.26782,2.34375,7.03125,3.125,1.5625,1.5625,3.125,3.125,32.18719,99.8132,0.7383602,1.16216218,0.7099376,0.5707983,0.6135521,1.04737759,46.375,39.75,3767.94849,3767.94849,3767.94849,3767.94849,3767.94849,3767.94849,4.842188,36.6650658,5.848263,10.1022415,33,300,405.000031,0,3,6,0,0,41,1511,6144,1050.23438,5093.76563,17.0936584,19.2610016,0,0,25,1.030098,35.77957
09/02/2020 02:52:44,,,,,,1.452,2.016,2.052,2.004,1.104,0.912,1.38,3.288,3.096,30,32,45,31,32,41,2836.13452,4.6875,3.90625,0.78125,0,1.5625,2.34375,2.21354365,31.17255,99.8132,0.710863,0.7333188,0.7497514,0.553579867,0.618568838,1.00979984,45.125,39,3767.94849,3767.94849,3767.94849,3767.94849,3767.94849,3767.94849,4.37588167,36.66729,5.84861755,10.1018867,33,300,405.000031,0,2,6,0,0,41,1505,6144,1050,5094,17.0898438,19.2400017,0,0,25,1.030098,35.77957
09/02/2020 02:52:45,,,,,,1.104,2.016,2.052,2.004,1.104,0.912,1.38,3.288,3.096,30,32,43,31,33,41,2789.256,1.5625,1.5625,1.5625,0,0,3.90625,1.43229365,30.7277031,99.8132,0.6031872,0.698316753,0.604510963,0.4720417,0.5143722,0.9874182,43.875,38.5,3767.94849,3767.94849,3767.94849,3767.94849,3767.94849,3767.94849,3.879847,36.5661964,5.832493,10.1180115,33,300,405.000031,0,3,6,0,0,41,1511,6144,1050.5625,5093.4375,17.098999,19.2130013,0,0,25,1.030098,35.77957
09/02/2020 02:52:46,,,,,,1.32,2.016,2.052,2.004,1.104,0.912,1.38,3.288,3.096,30,32,42,31,33,41,2732.79346,1.5625,1.5625,3.90625,0,0,0.78125,1.30208135,29.888607,99.8132,0.6045176,0.6311659,0.778617,0.462606728,0.514560342,0.7994962,42.625,44.5,4316.921,4316.921,4316.921,4316.921,4316.921,4316.921,3.79096365,36.5573959,5.831089,10.1194153,33,300,405.000031,0,1,5,0,0,41,1505,6144,1050.5625,5093.4375,17.098999,19.235,0,0,25,1.030098,35.77957
09/02/2020 02:52:47,,,,,,1.104,2.016,2.052,2.004,1.104,0.912,1.38,3.288,3.096,30,32,51,31,32,41,2700,3.125,3.90625,2.34375,1.5625,1.5625,3.90625,2.734375,31.0787163,99.8132,0.652114749,1.07341146,0.7002664,0.5223271,0.546023,0.9449766,51.125,38.25,3368.69556,3368.69556,3368.69556,3368.69556,3368.69556,3368.69556,4.43912,36.5187721,5.82492828,10.125576,33,300,405.000031,0,2,6,0,0,41,1509,6144,1050.5625,5093.4375,17.098999,19.149,0,0,25,1.030098,35.77957
09/02/2020 02:52:48,,,,,,0.948,2.016,2.052,2.004,1.104,0.912,1.38,3.288,3.096,30,32,49,31,32,41,2836.13452,1.53846145,3.076923,3.076923,0.7692337,0,4.615384,2.17949748,29.2544289,99.8132,0.539418757,0.686921239,0.606357336,0.414249182,0.445876181,0.7825542,49.625,37.75,4341.87451,4341.87451,4341.87451,4341.87451,4341.87451,4341.87451,3.47537684,36.5188942,5.82494736,10.1255569,33,300,405.000031,0,0,5,0,0,41,1510,6144,1050.5625,5093.4375,17.098999,19.118,0,0,25,1.030098,35.77957
09/02/2020 02:52:49,,,,,,0.936,2.016,2.052,2.004,1.092,0.912,1.38,3.288,3.096,30,32,48,31,32,41,2884.61548,0.7692337,1.53846145,0,0,0,0.7692337,0.5128205,28.233036,99.8132,0.4643646,0.501873,0.45087707,0.367236525,0.383215666,0.6355994,48,37.75,3194.02246,3194.02246,3194.02246,3194.02246,3194.02246,3194.02246,2.80316615,36.5162163,5.82452,10.1259842,33,300,405.000031,0,1,5,0,0,41,1510,6144,1050.5625,5093.4375,17.098999,19.1750011,0,0,25,1.030098,35.77957
